half_seconds	series1_bpm	series2_bpm	series3_bpm	series4_bpm
138	85.6348	93.7255	58.0981	57.2181
139	85.3911	93.1451	59.7962	57.7631
140	83.8064	91.5578	57.0875	58.3244
141	82.8729	91.3269	53.7779	58.5399
142	82.6266	92.3565	53.2026	58.4259
143	82.645	93.389	52.9207	58.3658
144	82.645	93.9649	53.2363	58.3658
145	82.645	94.7596	54.4014	58.7911
146	82.645	95.6767	55.0021	59.9726
147	82.645	96.7582	54.2143	60.4974
148	82.645	97.6169	53.5714	59.8949
149	82.645	97.9552	53.1278	58.9085
150	82.645	98.1321	52.6579	57.2365
151	82.645	98.4546	53.0074	56.0365
152	95.0292	98.6842	53.5733	55.4192
153	95.6378	98.6842	54.0187	54.9548
154	95.3338	98.6842	54.6095	55.1575
155	94.6154	98.6842	54.7747	55.3506
156	94.717	98.7522	54.0879	55.902
157	94.4172	99.0789	53.5753	56.5286
158	93.071	99.6689	54.0623	56.4427
159	92.4772	100	54.5455	56.2307
160	92.7607	100	55.5509	56.3121
161	92.308	100	56.7953	56.5241
162	92.0245	100.067	56.7335	56.5501
163	91.0371	100.403	56.3062	56.4438
164	90.0865	100.671	56.5466	56.431
165	90.1796	100.949	57.1923	56.5374
166	90.0281	101.507	58.136	56.7148
167	90.5564	101.757	59.5208	57.1486
168	91.7077	101.633	59.4585	57.4713
169	92.4405	101.823	57.8551	57.4713
170	92.963	102.424	56.5946	57.4281
171	93.4589	103.068	55.4498	56.8879
172	93.75	103.423	55.0704	56.391
173	94.2788	103.233	56.768	56.8008
174	95.6006	103.034	58.0007	57.2312
175	96.8981	103.151	56.916	57.2519
176	97.4026	103.034	55.9701	57.2519
177	97.6343	103.134	56.927	57.3353
178	98.1152	103.448	57.8995	57.4449
179	98.7137	103.448	59.0864	57.3976
180	99.5611	103.448	60.3708	57.2879
181	100.365	103.618	59.6069	57.3151
182	100.671	103.977	58.6618	57.4248
183	100.435	104.167	58.5938	57.6343
184	99.6052	104.161	58.5938	57.9685
185	98.4364	103.802	59.7925	58.433
186	97.6318	103.756	61.2334	59.1251
187	97.4026	103.862	59.8108	60.6853
188	96.6432	103.362	57.9193	63.5321
189	96.412	103.034	57.6039	66.2369
190	97.5981	103.075	57.4934	68.0319
191	98.3932	102.565	58.202	66.5347
192	97.9665	101.329	59.2282	63.7766
193	95.0147	100.96	58.7332	59.9915
194	92	101.3	57.5972	56.4358
195	91.2143	100.711	57.3177	57.6926
196	91.2594	99.4639	57.4274	59.6027
197	92.2747	99.0789	58.3052	59.7183
198	92.9359	98.9927	59.9339	59.3625
199	92.795	98.1459	59.9747	58.9342
200	93.0328	97.6987	58.5678	58.4728
201	93.8005	97.5524	57.9151	58.4469
202	95.0726	96.4537	57.9151	58.5609
203	96.5076	93.8084	58.4185	59.5505
204	97.6244	92.2608	59.703	60.9913
